[1, 0]
[980924, 5]
[981488, 3]
[982052, 8]
[982615, 7]
[983113, 8]
[983408, 6]
[983703, 4]
[983998, 2]
[984440, 7]
[984735, 5]
[985030, 3]
[985325, 16]
[985619, 15]
[985914, 13]
[986209, 11]
[986504, 9]
[986799, 7]
[987094, 4]
[987389, 2]
[987684, 16]
[987978, 15]
[988273, 13]
[988568, 11]
[988863, 9]
[989158, 6]
[989453, 4]
[989748, 2]
[990043, 16]
[990337, 15]
[990632, 13]
[990927, 11]
[991222, 8]
[991517, 6]
[991812, 4]
[992107, 2]
[992402, 16]
[992696, 15]
[992991, 12]
[993286, 10]
[993581, 8]
[993876, 6]
[994171, 4]
[994466, 2]
[994760, 16]
[995055, 14]
[995350, 12]
[995645, 10]
[995940, 8]
[996235, 6]
[996530, 4]
[996825, 2]
[997119, 16]
[997414, 14]
[997709, 12]
[998004, 10]
[998299, 8]
[998594, 6]
[998889, 3]
[999184, 1]
[999478, 16]
[999773, 14]
[1000068, 12]
[1000363, 10]
[1000658, 8]
[1000953, 5]
[1001248, 3]
[1001543, 1]
[1001837, 16]
[1002132, 14]
[1002427, 12]
[1002722, 10]
[1003017, 7]
[1003312, 5]
[1003607, 3]
[1003902, 1]
[1004196, 16]
[1004491, 14]
[1004786, 11]
[1005081, 9]
[1005376, 7]
[1005671, 5]
[1005966, 3]
[1006261, 1]
[1006555, 15]
[1006850, 13]
[1007145, 11]
[1007440, 9]
[1007735, 7]
[1008030, 5]
[1008325, 3]
[1008620, 16]
[1008914, 15]
[1009209, 13]
[1009504, 11]
[1009799, 9]
[1010094, 7]
[1010389, 4]
[1010684, 2]
[1010979, 16]
[1011273, 15]
[1011568, 13]
[1011863, 11]
[1012158, 9]
[1012453, 6]
[1012748, 4]
[1013043, 2]
[1013338, 16]
[1013632, 15]
[1013927, 13]
[1014222, 11]
[1014517, 8]
[1014812, 6]
[1015107, 4]
[1015402, 2]
[1015697, 16]
[1015902, 19]
[1016053, 17]
[1016204, 14]
[1016355, 11]
[1016506, 8]
[1016657, 6]
[1016808, 3]
[1016959, 32]
[1017109, 30]
[1017260, 27]
[1017411, 25]
[1017562, 22]
[1017713, 19]
[1017864, 16]
[1018015, 14]
[1018166, 11]
[1018317, 8]
[1018468, 5]
[1018619, 3]
[1018845, 15]
[1018996, 12]
[1019147, 9]
[1019298, 7]
[1019449, 4]
[1019600, 1]
[1019750, 31]
[1019901, 28]
[1020052, 26]
[1020203, 23]
[1020354, 20]
[1020505, 17]
[1020656, 15]
[1020807, 12]
[1020958, 9]
[1021109, 6]
[1021260, 4]
[1021411, 1]
[1021561, 31]
[1021712, 28]
[1021863, 25]
[1022014, 23]
[1022165, 20]
[1022316, 17]
[1022467, 14]
[1022618, 12]
[1022769, 9]
[1022920, 6]
[1023071, 3]
[1023222, 32]
[1023372, 31]
[1023523, 28]
[1023674, 25]
[1023825, 22]
[1023976, 20]
[1024127, 17]
[1024278, 14]
[1024429, 11]
[1024580, 9]
[1024731, 6]
[1024882, 3]
[1025033, 32]
[1025183, 30]
[1025334, 28]
[1025485, 25]
[1025636, 22]
[1025787, 19]
[1025938, 17]
[1026089, 14]
[1026240, 11]
[1026391, 8]
[1026542, 6]
[1026693, 3]
[1026844, 32]
[1026994, 30]
[1027145, 27]
[1027296, 25]
[1027447, 22]
[1027598, 19]
[1027749, 16]
[1027900, 14]
[1028051, 11]
[1028202, 8]
[1028353, 5]
[1028504, 3]
[1028655, 32]
[1028805, 30]
[1028956, 27]
[1029107, 24]
[1029258, 22]
[1029409, 19]
[1029560, 16]
[1029711, 13]
[1029862, 11]
[1030013, 8]
[1030164, 5]
[1030315, 2]
[1030465, 32]
[1030616, 30]
[1030767, 27]
[1030918, 24]
[1031069, 21]
[1031220, 19]
[1031371, 16]
[1031522, 13]
[1031673, 10]
[1031824, 8]
[1031975, 5]
[1032126, 2]
[1032235, 32]
[1032311, 55]
[1032388, 14]
[1032464, 37]
[1032540, 60]
[1032617, 19]
[1032693, 42]
[1032770, 64]
[1032846, 24]
[1032922, 47]
[1032999, 6]
[1033075, 29]
[1033151, 52]
[1033228, 11]
[1033304, 34]
[1033380, 58]
[1033457, 16]
[1033533, 39]
[1033609, 63]
[1033686, 21]
[1033762, 44]
[1033839, 3]
[1033915, 26]
[1033991, 50]
[1034068, 8]
[1034144, 31]
[1034220, 55]
[1034297, 13]
[1034373, 36]
[1034449, 60]
[1034564, 30]
[1034640, 53]
[1034717, 12]
