[1, 0]
[1003680, 16]
[1003975, 14]
[1004270, 12]
[1004565, 10]
[1004860, 8]
[1005155, 6]
[1005450, 4]
[1005745, 2]
[1006039, 16]
[1006334, 14]
[1006629, 12]
[1006924, 10]
[1007219, 8]
[1007514, 6]
[1007809, 3]
[1008104, 1]
[1008398, 16]
[1008693, 14]
[1008988, 12]
[1009283, 10]
[1009578, 8]
[1009873, 5]
[1010168, 3]
[1010463, 1]
[1010757, 16]
[1011052, 14]
[1011347, 12]
[1011642, 10]
[1011937, 7]
[1012232, 5]
[1012527, 3]
[1012822, 1]
[1013116, 16]
[1013411, 14]
[1013706, 11]
[1014001, 9]
[1014296, 7]
[1014591, 5]
[1014886, 3]
[1015181, 1]
[1015475, 15]
[1015770, 13]
[1015940, 12]
[1016091, 9]
[1016242, 6]
[1016393, 4]
[1016544, 1]
[1016694, 31]
[1016845, 28]
[1016996, 25]
[1017147, 23]
[1017298, 20]
[1017449, 17]
[1017600, 14]
[1017751, 12]
[1017902, 9]
[1018053, 6]
[1018204, 3]
[1018355, 32]
[1018505, 31]
[1018656, 28]
[1018807, 25]
[1018958, 22]
[1019109, 20]
[1019260, 17]
[1019411, 14]
[1019562, 11]
[1019713, 9]
[1019864, 6]
[1020015, 3]
[1020166, 32]
[1020316, 30]
[1020467, 28]
[1020694, 7]
[1020845, 4]
[1020996, 2]
[1021146, 32]
[1021297, 29]
[1021448, 26]
[1021599, 23]
[1021750, 21]
[1021901, 18]
[1022052, 15]
[1022203, 12]
[1022354, 10]
[1022505, 7]
[1022656, 4]
[1022807, 1]
[1022957, 31]
[1023108, 29]
[1023259, 26]
[1023410, 23]
[1023561, 20]
[1023712, 18]
[1023863, 15]
[1024014, 12]
[1024165, 9]
[1024316, 7]
[1024467, 4]
[1024618, 1]
[1024768, 31]
[1024919, 28]
[1025070, 26]
[1025221, 23]
[1025372, 20]
[1025523, 17]
[1025674, 15]
[1025825, 12]
[1025976, 9]
[1026127, 6]
[1026278, 4]
[1026429, 1]
[1026579, 31]
[1026730, 28]
[1026881, 25]
[1027032, 23]
[1027183, 20]
[1027334, 17]
[1027485, 14]
[1027636, 12]
[1027787, 9]
[1027938, 6]
[1028089, 3]
[1028240, 32]
[1028390, 31]
[1028541, 28]
[1028692, 25]
[1028843, 22]
[1028994, 20]
[1029145, 17]
[1029296, 14]
[1029447, 11]
[1029598, 9]
[1029749, 6]
[1029900, 3]
[1030051, 32]
[1030201, 30]
[1030352, 28]
[1030503, 25]
[1030654, 22]
[1030805, 19]
[1030956, 17]
[1031107, 14]
[1031258, 11]
[1031409, 8]
[1031560, 6]
[1031711, 3]
[1031862, 32]
[1032012, 30]
[1032163, 27]
[1032254, 39]
[1032330, 62]
[1032407, 21]
[1032483, 44]
[1032560, 3]
[1032636, 26]
[1032712, 49]
[1032789, 8]
[1032865, 31]
[1032941, 54]
[1033018, 13]
[1033094, 36]
[1033170, 60]
[1033247, 18]
[1033323, 41]
[1033400, 64]
[1033476, 23]
[1033552, 46]
[1033629, 5]
[1033705, 28]
[1033781, 52]
[1033858, 10]
[1033934, 33]
[1034010, 57]
[1034087, 15]
[1034163, 38]
[1034239, 62]
[1034316, 20]
[1034392, 43]
[1034469, 2]
[1034545, 25]
[1034621, 49]
[1034698, 7]
[1034774, 30]
[1034850, 54]
[1034927, 12]
[1035003, 35]
[1035079, 59]
[1035156, 17]
[1035232, 40]
[1035308, 64]
[1035385, 22]
[1035461, 45]
[1035538, 4]
[1035614, 27]
[1035690, 51]
[1035767, 9]
[1035843, 32]
[1035919, 56]
[1035996, 14]
[1036072, 37]
[1036148, 61]
[1036225, 19]
[1036301, 42]
[1036378, 1]
[1036454, 24]
[1036530, 48]
[1036607, 6]
[1036683, 29]
[1036759, 53]
[1036836, 11]
[1036912, 34]
[1036988, 58]
[1037065, 16]
[1037141, 39]
[1037217, 63]
[1037294, 21]
[1037370, 44]
[1037447, 3]
[1037523, 26]
[1037599, 50]
[1037676, 8]
[1037752, 31]
[1037828, 55]
[1037905, 13]
[1037981, 36]
[1038057, 60]
[1038134, 18]
[1038210, 41]
[1038287, 64]
[1038363, 23]
[1038439, 46]
[1038516, 5]
[1038592, 28]
[1038668, 52]
[1038745, 10]
[1038821, 33]
[1038897, 57]
[1038974, 15]
[1039050, 38]
[1039126, 62]
[1039203, 20]
[1039279, 43]
[1039356, 2]
[1039432, 25]
[1039508, 49]
[1039585, 7]
[1039661, 30]
[1039737, 54]
[1039814, 12]
[1039890, 35]
[1039966, 59]
[1040043, 17]
[1040157, 52]
[1040234, 11]
[1040310, 34]
[1040385, 122]
[1040424, 46]
[1040462, 98]
[1040501, 22]
[1040539, 75]
[1040577, 128]
[1040616, 52]
[1040654, 104]
[1040693, 28]
[1040731, 81]
[1040770, 5]
[1040808, 57]
[1040846, 110]
[1040885, 34]
[1040923, 87]
[1040962, 11]
[1041000, 63]
[1041038, 116]
